"level","Age ≤ 70 years","Non-frail > 70 years","Frail > 70 years","p","test"
"","84589","18933","13524","",""
"","55.50 (9.57)","76.22 (4.74)","79.76 (6.00)","<0.001",""
"","34.15 (7.65)","30.34 (5.85)","30.57 (6.45)","<0.001",""
"","98.49 (23.54)","85.41 (17.83)","83.75 (18.89)","<0.001",""
"","74.30 (20.29)","68.66 (18.46)","66.41 (19.85)","<0.001",""
"","5.11 (4.30)","8.36 (5.36)","10.24 (5.91)","<0.001",""
"1","50489 (59.7)","11625 (61.4)","6967 (51.5)","<0.001",""
"2","34100 (40.3)","7308 (38.6)","6557 (48.5)","",""
"White","64398 (76.1)","17063 (90.1)","12218 (90.3)","<0.001",""
"South Asian","11959 (14.1)","851 (4.5)","796 (5.9)","",""
"Black","4578 (5.4)","391 (2.1)","272 (2.0)","",""
"Other","1596 (1.9)","274 (1.4)","89 (0.7)","",""
"Mixed","992 (1.2)","103 (0.5)","53 (0.4)","",""
NA,"1066 (1.3)","251 (1.3)","96 (0.7)","",""
"1-2","9810 (11.6)","3584 (18.9)","2165 (16.0)","<0.001",""
"3-4","11334 (13.4)","3531 (18.6)","2312 (17.1)","",""
"5-6","12630 (14.9)","3083 (16.3)","2162 (16.0)","",""
"7-8","15831 (18.7)","2727 (14.4)","2223 (16.4)","",""
"9-10","18463 (21.8)","2338 (12.3)","2200 (16.3)","",""
NA,"16521 (19.5)","3670 (19.4)","2462 (18.2)","",""
"0","69498 (82.2)","13536 (71.5)","5159 (38.1)","<0.001",""
"1","15091 (17.8)","5397 (28.5)","8365 (61.9)","",""
"0","81880 (96.8)","14742 (77.9)","7270 (53.8)","<0.001",""
"1","2709 (3.2)","4191 (22.1)","6254 (46.2)","",""
"0","84331 (99.7)","18884 (99.7)","13441 (99.4)","<0.001",""
"1","258 (0.3)","49 (0.3)","83 (0.6)","",""
"0","80071 (94.7)","17306 (91.4)","8632 (63.8)","<0.001",""
"1","4518 (5.3)","1627 (8.6)","4892 (36.2)","",""
"0","84408 (99.8)","18894 (99.8)","13444 (99.4)","<0.001",""
"1","181 (0.2)","39 (0.2)","80 (0.6)","",""
"0","84417 (99.8)","18911 (99.9)","13494 (99.8)","0.032",""
"1","172 (0.2)","22 (0.1)","30 (0.2)","",""
"0","84537 (99.9)","18921 (99.9)","13509 (99.9)","0.118",""
"1","52 (0.1)","12 (0.1)","15 (0.1)","",""
"0","84397 (99.8)","18824 (99.4)","13412 (99.2)","<0.001",""
"1","192 (0.2)","109 (0.6)","112 (0.8)","",""
"fit","45328 (53.6)","5554 (29.3)","0 (0.0)","<0.001",""
"mild","30701 (36.3)","13379 (70.7)","0 (0.0)","",""
"moderate","7227 (8.5)","0 (0.0)","8961 (66.3)","",""
"severe","1333 (1.6)","0 (0.0)","4563 (33.7)","",""
