"level","2019","2020","2021","2022","2023","2024","p","test"
"","19354","16391","20918","24632","29569","6182","",""
"","61.35 (13.10)","60.77 (13.16)","61.52 (13.16)","61.97 (13.20)","62.07 (13.19)","62.12 (13.17)","<0.001",""
"","32.85 (7.18)","33.14 (7.29)","33.30 (7.46)","33.25 (7.64)","33.11 (7.52)","32.95 (7.43)","<0.001",""
"","93.63 (22.54)","94.86 (22.71)","95.19 (23.05)","95.04 (23.60)","94.69 (23.08)","94.52 (23.18)","<0.001",""
"","72.32 (19.10)","75.96 (20.88)","75.18 (20.74)","72.09 (19.93)","69.69 (19.78)","70.03 (20.03)","<0.001",""
"","6.03 (4.71)","5.90 (4.75)","6.22 (4.96)","6.38 (5.17)","6.37 (5.30)","6.49 (5.41)","<0.001",""
"DPP4","8975 (46.4)","6678 (40.7)","6786 (32.4)","5384 (21.9)","4727 (16.0)","1091 (17.6)","<0.001",""
"GLP1","495 (2.6)","498 (3.0)","1197 (5.7)","1672 (6.8)","1299 (4.4)","303 (4.9)","",""
"Other","804 (4.2)","906 (5.5)","1053 (5.0)","1039 (4.2)","935 (3.2)","214 (3.5)","",""
"SGLT2","4756 (24.6)","4814 (29.4)","7640 (36.5)","13162 (53.4)","19074 (64.5)","3847 (62.2)","",""
"SU","4324 (22.3)","3495 (21.3)","4242 (20.3)","3375 (13.7)","3534 (12.0)","727 (11.8)","",""
